Season (year),Award,Team,Player (Awardee),
2022,AP Player of the Week,Chicago Sky,Courtney Vandersloot,
2022,Player of the Week,Chicago Sky,Courtney Vandersloot,
2022,AP Player of the Week,Las Vegas Aces,A'ja Wilson,Eastern Conference
2022,Player of the Week,Chicago Sky,Kahleah Copper,
2022,Player of the Week,Las Vegas Aces,A'ja Wilson,Eastern Conference
2022,AP Player of the Week,Seattle Storm,Breanna Stewart,Western Conference
2022,Player of the Week,New York Liberty,Sabrina Ionescu,
2022,Player of the Week,Seattle Storm,Breanna Stewart,Eastern Conference
2022,AP Player of the Week,Las Vegas Aces,Kelsey Plum,Western Conference
2022,Player of the Week,Connecticut Sun,Jonquel Jones,
2022,Player of the Week,Las Vegas Aces,Kelsey Plum,Eastern Conference
2022,Community Assist Award (Monthly),Dallas Wings,Isabelle Harrison,Western Conference
2022,Player of the Month,Connecticut Sun,Alyssa Thomas,
2022,Player of the Month,Las Vegas Aces,A'ja Wilson,Eastern Conference
2022,Rookie of the Month,Atlanta Dream,Rhyne Howard,Western Conference
2022,AP Player of the Week,Seattle Storm,Breanna Stewart,
2022,Player of the Week,Indiana Fever,Kelsey Mitchell,
2022,Player of the Week,Las Vegas Aces,A'ja Wilson,Eastern Conference
2022,AP Player of the Week,Las Vegas Aces,Jackie Young,Western Conference
2022,Player of the Week,Connecticut Sun,Alyssa Thomas,
2022,Player of the Week,Las Vegas Aces,Jackie Young,Eastern Conference
2022,AP Player of the Week,Atlanta Dream,Rhyne Howard,Western Conference
2022,Player of the Week,Atlanta Dream,Rhyne Howard,
2022,Player of the Week,Las Vegas Aces,A'ja Wilson,Eastern Conference
2022,AP Player of the Week,Washington Mystics,Natasha Cloud,Western Conference
2021,Commissioner's Cup MVP,Seattle Storm,Breanna Stewart,
2021,W25,-,Seimone Augustus,
2021,W25,-,Sue Bird,
2021,W25,-,Swin Cash,
2021,W25,-,Tamika Catchings,
2021,W25,-,Tina Charles,
2021,W25,-,Cynthia Cooper-Dyke,
2021,W25,-,Elena Delle Donne,
2021,W25,-,Sylvia Fowles,
2021,W25,-,Yolanda Griffith,
2021,W25,-,Brittney Griner,
2021,W25,-,Becky Hammon,
2021,W25,-,Lauren Jackson,
2021,W25,-,Lisa Leslie,
2021,W25,-,Angel McCoughtry,
2021,W25,-,Maya Moore,
2021,W25,-,Nneka Ogwumike,
2021,W25,-,Candace Parker,
2021,W25,-,Ticha Penicheiro,
2021,W25,-,Cappie Pondexter,
2021,W25,-,Katie Smith,
2021,W25,-,Breanna Stewart,
2021,W25,-,Sheryl Swoopes,
2021,W25,-,Diana Taurasi,
2021,W25,-,Tina Thompson,
2021,W25,-,Lindsay Whalen,
2021,Peak Performer (Assisting),Chicago Sky,Courtney Vandersloot,
2021,Peak Performer (Rebounding),Connecticut Sun,Jonquel Jones,
2021,Peak Performer (Scoring),Washington Mystics,Tina Charles,
2021,AP All Rookie Team,New York Liberty,Michaela Onyenwere,
2021,AP All Rookie Team,New York Liberty,DiDi Richards,
2021,AP All Rookie Team,Atlanta Dream,Aari McDonald,
2021,AP All Rookie Team,Chicago Sky,Dana Evans,
2021,AP All Rookie Team,Dallas Wings,Charli Collier,
2021,AP All WNBA First Team,Connecticut Sun,Jonquel Jones,
2021,AP All WNBA First Team,Phoenix Mercury,Brittney Griner,
2021,AP All WNBA First Team,Phoenix Mercury,Skylar Diggins-Smith,
2021,AP All WNBA First Team,Seattle Storm,Breanna Stewart,
2021,AP All WNBA First Team,Washington Mystics,Tina Charles,
2021,AP All WNBA Second Team,Las Vegas Aces,A'ja Wilson,
2021,AP All WNBA Second Team,Seattle Storm,Jewell Loyd,
2021,AP All WNBA Second Team,Minnesota Lynx,Sylvia Fowles,
2021,AP All WNBA Second Team,Chicago Sky,Candace Parker,
2021,AP All WNBA Second Team,Chicago Sky,Courtney Vandersloot,
2021,AP Coach of the Year,Connecticut Sun,Curt Miller,
2021,AP Comeback Player of the Year,Las Vegas Aces,Kelsey Plum,
2021,AP Defensive Player of the Year,Minnesota Lynx,Sylvia Fowles,
2021,AP Most Improved Player,Connecticut Sun,Brionna Jones,
2021,AP Player of the Year,Connecticut Sun,Jonquel Jones,
2021,AP Rookie of the Year,New York Liberty,Michaela Onyenwere,
2021,AP Sixth Player of the Year,Las Vegas Aces,Kelsey Plum,
2021,All-Defensive First Team,Minnesota Lynx,Sylvia Fowles,
2021,All-Defensive First Team,Connecticut Sun,Jonquel Jones,
2021,All-Defensive First Team,Phoenix Mercury,Brianna Turner,
2021,All-Defensive First Team,Los Angeles Sparks,Brittney Sykes,
2021,All-Defensive First Team,Connecticut Sun,Briann January,
2021,All-Defensive Second Team,Seattle Storm,Breanna Stewart,
2021,All-Defensive Second Team,Connecticut Sun,Brionna Jones,
2021,All-Defensive Second Team,Phoenix Mercury,Brittney Griner,
2021,All-Defensive Second Team,Connecticut Sun,Jasmine Thomas,
2021,All-Defensive Second Team,Washington Mystics,Ariel Atkins,
2021,Defensive Player of the Year,Minnesota Lynx,Sylvia Fowles,
2021,MVP,Connecticut Sun,Jonquel Jones,
2021,Most Improved Player,Connecticut Sun,Brionna Jones,
2021,Sixth Woman of the Year,Las Vegas Aces,Kelsey Plum,
2021,Sportsmanship Award,Los Angeles Sparks,Nneka Ogwumike,
2021,All-Rookie Team,New York Liberty,Michaela Onyenwere,
2021,All-Rookie Team,Atlanta Dream,Aari McDonald,
2021,All-Rookie Team,Dallas Wings,Charli Collier,
2021,All-Rookie Team,New York Liberty,DiDi Richards,
2021,All-Rookie Team,Chicago Sky,Dana Evans,
2021,Rookie of the Year,New York Liberty,Michaela Onyenwere,
2021,All-WNBA First Team,Connecticut Sun,Jonquel Jones,
2021,All-WNBA First Team,Phoenix Mercury,Skylar Diggins-Smith,
2021,All-WNBA First Team,Seattle Storm,Jewell Loyd,
2021,All-WNBA First Team,Seattle Storm,Breanna Stewart,
2021,All-WNBA First Team,Phoenix Mercury,Brittney Griner,
2021,All-WNBA Second Team,Chicago Sky,Courtney Vandersloot,
2021,All-WNBA Second Team,Dallas Wings,Arike Ogunbowale,
2021,All-WNBA Second Team,Las Vegas Aces,A'ja Wilson,
2021,All-WNBA Second Team,Washington Mystics,Tina Charles,
2021,All-WNBA Second Team,Minnesota Lynx,Sylvia Fowles,
2021,Community Assist Award (Seasonlong),Los Angeles Sparks,Amanda Zahui B,
2021,Finals MVP,Chicago Sky,Kahleah Copper,
2021,Player of the Month,Connecticut Sun,Jonquel Jones,Eastern Conference
2021,Player of the Month,Las Vegas Aces,Kelsey Plum,Western Conference
2021,Rookie of the Month,New York Liberty,Michaela Onyenwere,
2021,AP Player of the Week,Seattle Storm,Jewell Loyd,
2021,Player of the Week,New York Liberty,Natasha Howard,Eastern Conference
2021,Player of the Week,Las Vegas Aces,Kelsey Plum,Western Conference
2021,AP Player of the Week,Washington Mystics,Tina Charles,
2021,Player of the Week,Washington Mystics,Tina Charles,Eastern Conference
2021,Player of the Week,Phoenix Mercury,Brittney Griner,Western Conference
2021,AP Player of the Week,Phoenix Mercury,Brittney Griner,
2021,Player of the Week,Connecticut Sun,Jonquel Jones,Eastern Conference
2021,Player of the Week,Phoenix Mercury,Brittney Griner,Western Conference
2021,Community Assist Award (Monthly),Minnesota Lynx,Layshia Clarendon,
2021,Player of the Month,Connecticut Sun,Jonquel Jones,Eastern Conference
2021,Player of the Month,Minnesota Lynx,Sylvia Fowles,Western Conference
2021,Rookie of the Month,New York Liberty,Michaela Onyenwere,
2021,AP Player of the Week,Phoenix Mercury,Skylar Diggins-Smith,
2021,Player of the Week,Connecticut Sun,Brionna Jones,Eastern Conference
2021,Player of the Week,Phoenix Mercury,Skylar Diggins-Smith,Western Conference
2021,AP Player of the Week,Phoenix Mercury,Brittney Griner,
2021,Player of the Week,Connecticut Sun,Jonquel Jones,Eastern Conference
2021,Player of the Week,Phoenix Mercury,Brittney Griner,Western Conference
2021,Community Assist Award (Monthly),Dallas Wings,Arike Ogunbowale,
2021,All Star MVP,Dallas Wings,Arike Ogunbowale,
2021,AP Player of the Week,Washington Mystics,Tina Charles,
2021,Player of the Week,Connecticut Sun,Jonquel Jones,Eastern Conference
2021,Player of the Week,Phoenix Mercury,Brittney Griner,Western Conference
2021,AP Player of the Week,Minnesota Lynx,Kayla McBride,
2021,Player of the Week,Connecticut Sun,Brionna Jones,Eastern Conference
2021,Player of the Week,Las Vegas Aces,A'ja Wilson,Western Conference
2021,Community Assist Award (Monthly),Connecticut Sun,Jasmine Thomas,
2021,Player of the Month,Washington Mystics,Tina Charles,Eastern Conference
2021,Player of the Month,Las Vegas Aces,A'ja Wilson,
2020,Dawn Staley Leadership,Indiana Fever,Natalie Achonwa,
2020,Peak Performer (Assisting),Chicago Sky,Courtney Vandersloot,
2020,Peak Performer (Rebounding),Los Angeles Sparks,Candace Parker,
2020,Peak Performer (Scoring),Dallas Wings,Arike Ogunbowale,
2020,AP All Rookie Team,Minnesota Lynx,Crystal Dangerfield,
2020,AP All Rookie Team,Dallas Wings,Satou Sabally,
2020,AP All Rookie Team,Atlanta Dream,Chennedy Carter,
2020,AP All Rookie Team,Indiana Fever,Julie Allemand,
2020,AP All Rookie Team,New York Liberty,Jazmine Jones,
2020,AP All WNBA First Team,Las Vegas Aces,A'ja Wilson,
2020,AP All WNBA First Team,Seattle Storm,Breanna Stewart,
2020,AP All WNBA First Team,Los Angeles Sparks,Candace Parker,
2020,AP All WNBA First Team,Chicago Sky,Courtney Vandersloot,
2020,AP All WNBA First Team,Dallas Wings,Arike Ogunbowale,
2020,AP All WNBA Second Team,Phoenix Mercury,Diana Taurasi,
2020,AP All WNBA Second Team,Phoenix Mercury,Skylar Diggins-Smith,
2020,AP All WNBA Second Team,Connecticut Sun,DeWanna Bonner,
2020,AP All WNBA Second Team,Connecticut Sun,Alyssa Thomas,
2020,AP All WNBA Second Team,Minnesota Lynx,Napheesa Collier,
2020,AP Coach of the Year,Minnesota Lynx,Cheryl Reeve,
2020,AP Comeback Player of the Year,Seattle Storm,Breanna Stewart,
2020,AP Defensive Player of the Year,Los Angeles Sparks,Candace Parker,
2020,AP Most Improved Player,Atlanta Dream,Betnijah Laney-Hamilton,
2020,AP Player of the Year,Las Vegas Aces,A'ja Wilson,
2020,AP Rookie of the Year,Minnesota Lynx,Crystal Dangerfield,
2020,AP Sixth Player of the Year,Las Vegas Aces,Dearica Hamby,
2020,MVP,Las Vegas Aces,A'ja Wilson,
2020,Rookie of the Year,Minnesota Lynx,Crystal Dangerfield,
2020,Community Assist Award (Seasonlong),-,All Players,
2020,Sixth Woman of the Year,Las Vegas Aces,Dearica Hamby,
2020,Defensive Player of the Year,Los Angeles Sparks,Candace Parker,
2020,Most Improved Player,Atlanta Dream,Betnijah Laney-Hamilton,
2020,All-Rookie Team,Minnesota Lynx,Crystal Dangerfield,
2020,All-Rookie Team,Indiana Fever,Julie Allemand,
2020,All-Rookie Team,Atlanta Dream,Chennedy Carter,
2020,All-Rookie Team,Dallas Wings,Satou Sabally,
2020,All-Rookie Team,New York Liberty,Jazmine Jones,
2020,All-Defensive First Team,Seattle Storm,Alysha Clark,
2020,All-Defensive First Team,Atlanta Dream,Betnijah Laney-Hamilton,
2020,All-Defensive First Team,Phoenix Mercury,Brianna Turner,
2020,All-Defensive First Team,Connecticut Sun,Alyssa Thomas,
2020,All-Defensive First Team,Atlanta Dream,Elizabeth Williams,
2020,All-Defensive Second Team,Seattle Storm,Breanna Stewart,
2020,All-Defensive Second Team,Minnesota Lynx,Napheesa Collier,
2020,All-Defensive Second Team,Washington Mystics,Ariel Atkins,
2020,All-Defensive Second Team,Los Angeles Sparks,Brittney Sykes,
2020,All-Defensive Second Team,Las Vegas Aces,A'ja Wilson,
2020,Sportsmanship Award,Los Angeles Sparks,Nneka Ogwumike,
2020,All-WNBA First Team,Las Vegas Aces,A'ja Wilson,
2020,All-WNBA First Team,Los Angeles Sparks,Candace Parker,
2020,All-WNBA First Team,Seattle Storm,Breanna Stewart,
2020,All-WNBA First Team,Chicago Sky,Courtney Vandersloot,
2020,All-WNBA First Team,Dallas Wings,Arike Ogunbowale,
2020,All-WNBA Second Team,Phoenix Mercury,Diana Taurasi,
2020,All-WNBA Second Team,Connecticut Sun,DeWanna Bonner,
2020,All-WNBA Second Team,Minnesota Lynx,Napheesa Collier,
2020,All-WNBA Second Team,Phoenix Mercury,Skylar Diggins-Smith,
2020,All-WNBA Second Team,Washington Mystics,Myisha Hines-Allen,
2020,Finals MVP,Seattle Storm,Breanna Stewart,
2020,Player of the Month,Washington Mystics,Myisha Hines-Allen,Eastern Conference
2020,Player of the Month,Las Vegas Aces,A'ja Wilson,Western Conference
2020,Rookie of the Month,Minnesota Lynx,Crystal Dangerfield,
2020,AP Player of the Week,Washington Mystics,Myisha Hines-Allen,
2020,Player of the Week,Washington Mystics,Myisha Hines-Allen,Eastern Conference
2020,Player of the Week,Las Vegas Aces,A'ja Wilson,Western Conference
2020,AP Player of the Week,Phoenix Mercury,Skylar Diggins-Smith,
2020,Player of the Week,Connecticut Sun,DeWanna Bonner,Eastern Conference
2020,Player of the Week,Phoenix Mercury,Skylar Diggins-Smith,Western Conference
2020,AP Player of the Week,Connecticut Sun,Alyssa Thomas,
2020,Player of the Month,Chicago Sky,Courtney Vandersloot,Eastern Conference
2020,Player of the Month,Las Vegas Aces,A'ja Wilson,Western Conference
2020,Rookie of the Month,Minnesota Lynx,Crystal Dangerfield,
2020,Player of the Week,Connecticut Sun,Alyssa Thomas,Eastern Conference
2020,Player of the Week,Seattle Storm,Breanna Stewart,Western Conference
2020,AP Player of the Week,Los Angeles Sparks,Candace Parker,
2020,Player of the Week,Chicago Sky,Courtney Vandersloot,Eastern Conference
2020,Player of the Week,Los Angeles Sparks,Candace Parker,Western Conference
2020,AP Player of the Week,Minnesota Lynx,Napheesa Collier,
2020,Player of the Week,Connecticut Sun,DeWanna Bonner,Eastern Conference
2020,Player of the Week,Minnesota Lynx,Napheesa Collier,Western Conference
2020,AP Player of the Week,Las Vegas Aces,A'ja Wilson,
2020,Player of the Week,Chicago Sky,Courtney Vandersloot,Eastern Conference
2020,Player of the Week,Las Vegas Aces,A'ja Wilson,Western Conference
2020,AP Player of the Week,Seattle Storm,Breanna Stewart,
2020,Player of the Week,Washington Mystics,Myisha Hines-Allen,Eastern Conference
2020,Player of the Week,Seattle Storm,Breanna Stewart,Western Conference
2020,AP Player of the Week,Atlanta Dream,Monique Billings,