Year,Rank,Team,Games,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2023,1,Las Vegas Aces*,9,200,30.9,68.2,0.453,8.1,22.6,0.36,22.8,45.7,0.499,16.4,18.4,0.892,7.7,30.7,38.3,19.3,7.8,3.9,11.8,14,86.3
2023,2,Dallas Wings*,5,200,32.6,76.6,0.426,7.8,22.6,0.345,24.8,54,0.459,11.6,17.4,0.667,13,26,39,19.4,9.4,5,12.6,14.6,84.6
2023,3,Connecticut Sun*,7,200,31.9,69,0.462,9.3,22.6,0.411,22.6,46.4,0.486,9.1,12.4,0.736,7.6,25.3,32.9,22.6,7,4.4,9.4,15,82.1
2023,4,New York Liberty*,10,202.5,30.2,70.9,0.426,9.2,27.8,0.331,21,43.1,0.487,12.4,15.8,0.785,9.9,26.8,36.7,20,5.1,6.2,11.8,13.9,82
2023,5,Washington Mystics*,2,212.5,31.5,77.5,0.406,6.5,24,0.271,25,53.5,0.467,10.5,14,0.75,11,26.5,37.5,22,8,4.5,10.5,20,80
2023,6,Atlanta Dream*,2,200,28,72,0.389,10,23.5,0.426,18,48.5,0.371,12,17.5,0.686,7,23,30,16,7.5,3.5,16,16,78
2023,7,Minnesota Lynx*,3,200,26.7,63,0.423,7.3,23.7,0.31,19.3,39.3,0.492,11.7,15,0.778,7,24.3,31.3,17,6,2,12,15,72.3
2023,8,Chicago Sky*,2,200,24.5,68.5,0.358,6,21.5,0.279,18.5,47,0.394,9.5,11.5,0.826,8,29.5,37.5,14.5,4,6,14,18,64.5
2022,1,Seattle Storm*,6,204.2,32.5,69.8,0.465,9,23,0.391,23.5,46.8,0.502,13,16.3,0.796,6.7,26.7,33.3,22.2,5.2,4.2,8.3,15.2,87
2022,2,Las Vegas Aces*,10,202.5,31.4,65.4,0.48,9.8,25.7,0.381,21.6,39.7,0.544,13.4,16.1,0.832,4.9,29.8,34.7,18.7,5.5,4.5,10.3,14.7,86
2022,3,Washington Mystics*,2,200,30.5,65.5,0.466,10.5,23,0.457,20,42.5,0.471,12,15,0.8,6.5,19.5,26,20.5,6.5,4,10,14,83.5
2022,4,Chicago Sky*,8,200,30.8,69.9,0.44,7.1,23.8,0.3,23.6,46.1,0.512,12.4,16.1,0.767,6.4,27.6,34,22.4,9.1,6,10.8,14.6,81
2022,5,Connecticut Sun*,12,200,30.8,69.3,0.444,4.7,13.7,0.341,26.1,55.6,0.469,12.9,16.9,0.764,9.8,29,38.8,21.3,7.4,3.6,12.1,15.8,79.1
2022,6,New York Liberty*,3,200,29,68,0.426,7,22.3,0.313,22,45.7,0.482,12.3,13.7,0.902,4.7,27,31.7,20.3,6.3,2.7,13.7,14.3,77.3
2022,7,Dallas Wings*,3,200,27.3,64.3,0.425,6.7,21,0.317,20.7,43.3,0.477,10.3,14.7,0.705,9.3,22,31.3,17.7,5.7,5,14,17.7,71.7
2022,8,Phoenix Mercury*,2,200,28.5,73.5,0.388,5,20.5,0.244,23.5,53,0.443,9.5,15.5,0.613,10.5,24,34.5,16,4,1.5,11,15,71.5
2021,1,Las Vegas Aces*,5,200,31.8,71.2,0.447,6.4,18.2,0.352,25.4,53,0.479,14.8,19,0.779,6.8,25.4,32.2,19.4,7.8,2.8,9.6,16.2,84.8
2021,2,Chicago Sky*,10,207.5,32.1,68.6,0.468,7.8,23.3,0.335,24.3,45.3,0.536,12.7,15,0.847,8.2,28.4,36.6,21.6,7.8,4.5,13.5,15.6,84.7
2021,3,Phoenix Mercury*,11,204.5,30.6,70.5,0.435,8.1,23.6,0.342,22.5,46.8,0.482,14,17,0.824,8.7,28,36.7,20.5,6,5.3,12.5,16.7,83.4
2021,4,New York Liberty*,1,200,32,69,0.464,12,28,0.429,20,41,0.488,6,7,0.857,6,25,31,20,5,4,9,22,82
2021,5,Connecticut Sun*,4,212.5,30.5,71.8,0.425,7,16.8,0.418,23.5,55,0.427,13.5,18.5,0.73,11.8,24.5,36.3,18.5,9,6.5,13,14.8,81.5
2021,6,Seattle Storm*,1,225,28,76,0.368,9,25,0.36,19,51,0.373,15,16,0.938,6,33,39,19,5,7,13,21,80
2021,7,Minnesota Lynx*,1,200,29,67,0.433,9,18,0.5,20,49,0.408,9,11,0.818,6,23,29,15,8,2,20,20,76
2021,8,Dallas Wings*,1,200,25,69,0.362,8,22,0.364,17,47,0.362,6,9,0.667,9,26,35,14,6,2,11,18,64
2020,1,Seattle Storm*,6,200,35.5,71.8,0.494,9.7,26.7,0.363,25.8,45.2,0.572,12.3,14.3,0.86,6.8,28.5,35.3,27.3,7.5,4.3,9.7,17.2,93
2020,2,Washington Mystics*,1,200,32,74,0.432,9,18,0.5,23,56,0.411,11,13,0.846,9,25,34,19,5,5,9,17,84
2020,3,Phoenix Mercury*,2,200,29,64.5,0.45,11,27,0.407,18,37.5,0.48,13,16.5,0.788,6,28,34,20.5,5.5,3.5,13,17.5,82
2020,4,Chicago Sky*,1,200,30,60,0.5,8,20,0.4,22,40,0.55,13,16,0.813,5,16,21,18,8,4,12,19,81
2020,5,Minnesota Lynx*,4,200,28.8,68.3,0.421,10.3,24.5,0.418,18.5,43.8,0.423,11.3,13.8,0.818,7,24.5,31.5,18.3,6,3.3,12.3,16.3,79
2020,6,Connecticut Sun*,7,200,29.6,70.6,0.419,5.9,18.6,0.315,23.7,52,0.456,12.7,14.7,0.864,9.7,26.7,36.4,19.4,8.3,3.6,11.4,17.3,77.7
2020,7,Las Vegas Aces*,8,200,28,68.6,0.408,3.8,11.9,0.316,24.3,56.8,0.427,14.4,17.4,0.827,8.4,26.6,35,18.9,5.6,3.5,13.4,16.5,74.1
2020,8,Los Angeles Sparks*,1,200,20,60,0.333,2,18,0.111,18,42,0.429,17,18,0.944,7,28,35,14,5,5,14,16,59